pass_id,pass_name,pass_ph_no,pass_email,pass_dob,sign_up_date,pass_gender,device_os,wallet_attached,pass_occupation
P0001,Ritvik Dyal,05194412720,ritvikdyal@gmail.com,1982-04-22,2020-12-30,F,iOS,Y,Lawyer
P0002,Siya Barman,3478403374,siyabarman@gmail.com,1982-12-26,2020-11-09,F,iOS,N,Makeup Artist
P0003,Aradhya Kohli,02586681810,aradhyakohli@gmail.com,1994-02-18,2020-01-10,F,iOS,N,Student
P0004,Rati Ranganathan,+917397166278,ratiranganathan@yahoo.com,1988-03-10,2020-04-12,M,iOS,N,Student
P0005,Ryan Bhagat,+918759219240,ryanbhagat@gmail.com,1999-07-29,2020-03-20,M,iOS,N,Student
P0006,Kimaya Shankar,+916813659106,kimayashankar@yahoo.com,1965-08-17,2020-09-10,F,Android,Y,Journalist
P0007,Veer Soman,06647069390,veersoman@gmail.com,1995-06-17,2020-03-29,F,Android,N,Journalist
P0008,Mamooty Kala,07285614018,mamootykala@yahoo.com,1986-09-06,2020-11-04,F,Android,N,Student
P0009,Sara Halder,03810058691,sarahalder@gmail.com,1973-10-12,2020-09-03,M,Android,N,Teacher
P0010,Dhruv Kunda,07299562365,dhruvkunda@gmail.com,2002-11-30,2020-06-09,M,iOS,N,Teacher
P0011,Shaan Sandal,+919301072796,shaansandal@yahoo.com,1996-10-02,2020-12-08,M,iOS,Y,Lawyer
P0012,Indrans Wagle,03634061357,indranswagle@gmail.com,1977-06-29,2020-07-08,M,Android,Y,Student
P0013,Veer Savant,5656527986,veersavant@gmail.com,2004-04-03,2020-05-10,M,iOS,N,Student
P0014,Stuvan Sodhi,+917365377761,stuvansodhi@yahoo.com,2000-08-08,2020-10-29,F,iOS,N,Lawyer
P0015,Shlok Borde,+917813614799,shlokborde@yahoo.com,1980-07-24,2020-09-25,M,Android,N,Student
P0016,Ojas Halder,0120904128,ojashalder@gmail.com,1973-11-11,2020-02-04,M,Android,Y,Student
