d_id,d_name,d_ph_N,d_email,d_dob,d_doj,d_gender,d_status,joined_with_referral,d_license_N,d_v_id
D0001,Samiha Khalsa,01511638759,samihakhalsa@yahoo.com,1986-05-21,2020-04-17,M,W,N,8QR B51,V0746
D0002,Veer Thakur,07727719389,veerthakur@gmail.com,1969-12-21,2020-08-12,M,L,Y,8865 LO,V0308
D0003,Aarna Saxena,00830603255,aarnasaxena@gmail.com,1962-12-14,2020-05-18,M,W,Y,170-NIVL,V0668
D0004,Lakshit Grover,+910770172464,lakshitgrover@gmail.com,1990-07-05,2020-01-27,M,W,N,12J 7668,V0135
D0005,Alia Kurian,2174910452,aliakurian@yahoo.com,1969-05-16,2020-11-10,M,W,N,0257 YU,V0743
D0006,Jivin Kunda,0650979683,jivinkunda@gmail.com,1985-02-26,2020-11-16,M,W,N,S65 2KB,V0416
D0007,Raunak Dey,03670799381,raunakdey@gmail.com,1976-09-10,2020-05-13,F,W,Y,0XR 179,V0334
D0008,Kiara Sawhney,+918544743441,kiarasawhney@gmail.com,1985-08-20,2020-01-09,M,W,N,335 RO6,V0572
D0009,Aradhya Maharaj,0654930056,aradhyamaharaj@yahoo.com,1966-04-10,2020-04-22,F,W,N,4R 9X8XHR,V0062
D0010,Anika Srinivas,+919602312840,anikasrinivas@yahoo.com,1995-07-03,2020-02-18,M,W,Y,Y02 7LR,V0522
D0011,Inaaya  Brahmbhatt,06064260669,inaayabrahmbhatt@yahoo.com,2005-04-15,2020-07-09,M,W,Y,822-501,V0213
D0012,Biju Tak,8550547357,bijutak@yahoo.com,1978-04-17,2020-07-06,M,W,Y,3D 6X5HIX,V0642
D0013,Hridaan Deol,8776202559,hridaandeol@yahoo.com,1984-02-19,2020-07-25,F,W,Y,0C 20635,V0434
D0014,Mohanlal Bansal,3713109230,mohanlalbansal@yahoo.com,1975-03-28,2020-05-16,M,W,Y,25-Y542,V0474
D0015,Piya Master,04546253030,piyamaster@gmail.com,1992-01-04,2020-11-29,M,W,Y,SWW 308,V0695
D0016,Aaina Varghese,00520909735,aainavarghese@gmail.com,1995-10-03,2020-01-21,F,W,N,NIK-2919,V0587
D0017,Vidur Hari,0876925205,vidurhari@yahoo.com,1985-03-23,2020-04-20,M,W,N,39L B93,V0483
D0018,Yasmin Dewan,9003271535,yasmindewan@yahoo.com,1970-10-09,2020-01-23,F,L,Y,2DM0799,V0633
D0019,Jivika Bala,06605914967,jivikabala@yahoo.com,1993-12-17,2020-05-09,F,L,Y,473-AQB,V0839
D0020,Madhup Cheema,05174655920,madhupcheema@gmail.com,2003-07-13,2020-02-08,M,L,N,YG9 5513,V0369
D0021,Shalv Brar,+910390122815,shalvbrar@gmail.com,1967-10-24,2020-06-26,F,L,N,91P•017,V0767
D0022,Jayant Issac,7578021604,jayantissac@gmail.com,1966-07-08,2020-03-04,F,W,N,NV6 4792,V0427
D0023,Ojas Divan,01748020912,ojasdivan@yahoo.com,1972-04-12,2020-04-06,F,L,Y,133303,V0314
D0024,Zain Trivedi,02915491243,zaintrivedi@yahoo.com,1974-02-04,2020-06-09,M,W,N,02A XC7,V0268
D0025,Ayesha Shetty,8453178614,ayeshashetty@yahoo.com,1999-08-11,2020-04-26,M,L,Y,SWD 569,V0685
D0026,Saanvi Sastry,05472931646,saanvisastry@gmail.com,1963-06-16,2020-03-30,M,W,N,743 KHO,V0619
D0027,Madhup Devi,+919901757167,madhupdevi@yahoo.com,1995-05-30,2020-02-03,F,L,N,970G,V0129
